estado;cidade;populacao;pib;pib_percapita;sigla;regiao
BAHIA;Campo Alegre de Lourdes;27670;86973.453125;3143.23999023;BA;NORDESTE
BAHIA;Oliveira dos Brejinhos;23596;73714.15625;3124.01000977;BA;NORDESTE
BAHIA;Catu;50809;386145.71875;7599.95019531;BA;NORDESTE
BAHIA;Tanhacu;20134;80742.0703125;4010.22998047;BA;NORDESTE
BAHIA;Valenca;89597;555572.25;6200.79003906;BA;NORDESTE
BAHIA;Central;18029;56313.98046875;3123.52001953;BA;NORDESTE
BAHIA;Sao Felix;16208;70210.15625;4331.81982422;BA;NORDESTE
BAHIA;Camamu;32881;149328.40625;4541.47998047;BA;NORDESTE
BAHIA;Piritiba;26265;84142.8046875;3203.61010742;BA;NORDESTE
BAHIA;Wanderley;13252;59737.21875;4507.79003906;BA;NORDESTE
BAHIA;Itamaraju;67803;508954.0625;7506.35986328;BA;NORDESTE
BAHIA;Itagiba;16590;112435.390625;6777.29980469;BA;NORDESTE
BAHIA;Malhada de Pedras;7677;26240.70507812;3418.09008789;BA;NORDESTE
BAHIA;Bom Jesus da Lapa;66192;351413.0625;5309.0;BA;NORDESTE
BAHIA;Abare;18831;56625.83203125;3007.05004883;BA;NORDESTE
BAHIA;Acajutiba;15192;61590.81640625;4054.15991211;BA;NORDESTE
BAHIA;Carinhanha;30240;96256.828125;3183.10009766;BA;NORDESTE
BAHIA;Serra Preta;16168;50307.50390625;3111.55004883;BA;NORDESTE
BAHIA;Itape;10630;40550.72265625;3814.73999023;BA;NORDESTE
BAHIA;Pilao Arcado;34466;97126.453125;2818.04003906;BA;NORDESTE
BAHIA;Ipira;62197;245887.9375;3953.37011719;BA;NORDESTE
BAHIA;Igrapiuna;13268;137953.75;10397.48046875;BA;NORDESTE
BAHIA;Jussara;15204;43503.5390625;2861.32006836;BA;NORDESTE
BAHIA;Ibicarai;24569;100709.2734375;4099.04003906;BA;NORDESTE
BAHIA;Cocos;17923;135027.5;7533.75976562;BA;NORDESTE
BAHIA;Luis Eduardo Magalhaes;52054;1888228.125;36274.41015625;BA;NORDESTE
BAHIA;Camacari;234558;12158915.0;51837.55859375;BA;NORDESTE
BAHIA;Itaberaba;61490;338606.15625;5506.68994141;BA;NORDESTE
BAHIA;Entre Rios;40524;248541.796875;6133.20019531;BA;NORDESTE
BAHIA;Santo Antonio de Jesus;88768;835156.6875;9408.30957031;BA;NORDESTE
